local_ts,epoch_sec,sec_from_open,ticker,instrument_symbol,strike,yes_bid,yes_ask,yes_bid_size,yes_ask_size,yes_bid_usd,yes_ask_usd,no_ask_implied,no_bid_implied,no_ask_usd_buyable,no_ask_usd_total,last_trade_price,open_time,close_time,status
2026-05-05 20:12:50.186,1778011970,769,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9300,0.9800,637.0000,25099.0000,1231.4100,24795.0200,0.0700,0.0200,44.5900,105.5900,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:51.567,1778011971,771,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9300,0.9800,637.0000,25099.0000,1231.4100,24795.0200,0.0700,0.0200,44.5900,105.5900,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:52.922,1778011972,772,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9400,0.9800,531.0000,24999.0000,1233.1400,24796.0200,0.0600,0.0200,31.8600,97.8600,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:54.299,1778011974,773,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9400,0.9900,631.0000,50099.0000,1239.1400,49598.0100,0.0600,0.0100,37.8600,91.8600,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:55.759,1778011975,775,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9400,0.9900,631.0000,50099.0000,1239.1400,49598.0100,0.0600,0.0100,37.8600,91.8600,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:57.123,1778011977,776,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9400,0.9900,631.0000,50099.0000,1239.1400,49598.0100,0.0600,0.0100,37.8600,91.8600,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:58.525,1778011978,778,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9400,0.9900,631.0000,50099.0000,1239.1400,49598.0100,0.0600,0.0100,37.8600,91.8600,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:12:59.850,1778011979,779,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9400,0.9900,631.0000,50099.0000,1239.1400,49598.0100,0.0600,0.0100,37.8600,91.8600,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:01.210,1778011981,780,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9400,0.9900,631.0000,49999.0000,1239.1400,49499.0100,0.0600,0.0100,37.8600,91.8600,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:02.597,1778011982,782,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9400,0.9900,631.0000,49999.0000,1239.1400,49499.0100,0.0600,0.0100,37.8600,91.8600,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:03.962,1778011983,783,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9500,0.9900,626.0000,49999.0000,1247.7000,49499.0100,0.0500,0.0100,31.3000,78.3000,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:05.327,1778011985,784,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9500,0.9900,626.0000,49999.0000,1247.7000,49499.0100,0.0500,0.0100,31.3000,78.3000,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:06.680,1778011986,786,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9500,0.9900,626.0000,49999.0000,1247.7000,49499.0100,0.0500,0.0100,31.3000,78.3000,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:08.039,1778011988,787,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9500,,626.0000,,1247.7000,0.0000,0.0500,,31.3000,78.3000,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:09.423,1778011989,788,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9500,,826.0000,,1249.7000,0.0000,0.0500,,41.3000,76.3000,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:10.762,1778011990,790,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9500,,826.0000,,1249.7000,0.0000,0.0500,,41.3000,76.3000,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:12.211,1778011992,791,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9600,,100.0000,,1250.7000,0.0000,0.0400,,4.0000,75.3000,0.85,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:13.570,1778011993,793,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9600,,100.0000,,1250.7000,0.0000,0.0400,,4.0000,75.3000,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:15.009,1778011995,794,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9600,,100.0000,,1255.7000,0.0000,0.0400,,4.0000,70.3000,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:16.350,1778011996,795,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9500,,826.0000,,1254.7000,0.0000,0.0500,,41.3000,71.3000,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:17.830,1778011997,797,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9600,,620.0000,,1255.2000,0.0000,0.0400,,24.8000,64.8000,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:19.301,1778011999,798,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9600,,820.0000,,1257.2000,0.0000,0.0400,,32.8000,62.8000,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:20.757,1778012000,800,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9700,,100.0000,,1263.2000,0.0000,0.0300,,3.0000,56.8000,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:22.139,1778012002,801,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,100.0000,,1271.2000,0.0000,0.0200,,2.0000,48.8000,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
2026-05-05 20:13:23.507,1778012003,803,BTC15M2605052015,GEMI-BTC15M2605052015-HI81633D71,81633.71,0.9800,,100.0000,,1271.2000,0.0000,0.0200,,2.0000,48.8000,0.93,2026-05-05T20:00:00.000Z,2026-05-05T20:15:00.000Z,active
